relation,relation_label,frequency,count,pct_within_relation,pct_within_class,lift
P54,member of sports team,A-Day,0,0.0,0.0,0.0
P54,member of sports team,A-Few-Days,0,0.0,0.0,0.0
P54,member of sports team,A-Week,0,0.0,0.0,0.0
P54,member of sports team,A-Few-Weeks,0,0.0,0.0,0.0
P54,member of sports team,A-Month,1,0.0015255530129672007,0.06397952655150352,0.0014791617559573918
P54,member of sports team,A-Few-Months,267,0.40732265446224253,6.190586598655228,0.14312201788961157
P54,member of sports team,A-Year,28730,43.82913806254767,84.20281359906213,1.9467099607165628
P54,member of sports team,A-Few-Years,36479,55.65064836003051,45.66096306217221,1.0556494232163252
P54,member of sports team,Many-Years,73,0.11136536994660565,0.2481473927527364,0.005736993581922036
P39,position held,A-Day,0,0.0,0.0,0.0
P39,position held,A-Few-Days,0,0.0,0.0,0.0
P39,position held,A-Week,0,0.0,0.0,0.0
P39,position held,A-Few-Weeks,2,0.007027159973296792,0.17301038062283738,0.009212327097519108
P39,position held,A-Month,4,0.014054319946593584,0.2559181062060141,0.013626935540284183
P39,position held,A-Few-Months,449,1.5775974140051299,10.410387201483886,0.5543244964067595
P39,position held,A-Year,1756,6.169846456554583,5.1465416178194605,0.27403919136913174
P39,position held,A-Few-Years,23458,82.42155932679808,29.362506414990424,1.5634727380178328
P39,position held,Many-Years,2792,9.809915322722322,9.490787952953973,0.5053583647469576
P17,country,A-Day,2,0.016459550654267137,10.0,1.247197761501111
P17,country,A-Few-Days,1,0.008229775327133568,0.2008032128514056,0.02504413175705042
P17,country,A-Week,0,0.0,0.0,0.0
P17,country,A-Few-Weeks,0,0.0,0.0,0.0
P17,country,A-Month,8,0.06583820261706855,0.5118362124120281,0.06383609783754887
P17,country,A-Few-Months,49,0.4032589910295449,1.1361001623000233,0.1416941579261638
P17,country,A-Year,109,0.8970455106575591,0.3194607268464244,0.03984307034103784
P17,country,A-Few-Years,1136,9.349024771623734,1.4219373896934573,0.1773437129420413
