property,entity,frequency,timeline_entry_count,evaluated_n_statements
P54,Q20109533,A-Year,8,8
P54,Q84080099,A-Few-Years,3,3
P54,Q2854960,A-Year,5,5
P54,Q27956467,A-Year,4,4
P54,Q3016418,A-Few-Months,10,10
P54,Q21923379,A-Few-Years,10,10
P54,Q137190310,A-Few-Months,3,3
P54,Q10933625,A-Year,7,7
P54,Q12325722,A-Year,9,9
P54,Q13463444,A-Few-Years,5,5
P54,Q15055213,A-Year,7,7
P54,Q15971832,A-Year,5,5
P54,Q16069426,A-Year,7,7
P54,Q16185840,A-Year,10,10
P54,Q17109218,A-Few-Years,3,3
P54,Q17332822,A-Year,6,6
P54,Q17350916,A-Few-Years,6,6
P54,Q17469736,A-Year,9,9
P54,Q17473716,A-Year,7,7
P54,Q17476630,A-Year,6,6
P54,Q17580266,A-Year,5,5
P54,Q17614937,A-Year,9,9
P54,Q18084614,A-Year,8,8
P54,Q18211671,A-Year,7,7
P54,Q18221682,A-Few-Years,8,8
P54,Q18346411,A-Year,4,4
P54,Q18402424,A-Year,10,10
P54,Q18611148,A-Year,8,8
P54,Q18701947,A-Few-Years,7,7
P54,Q1907684,A-Few-Years,4,4
P54,Q20855802,A-Year,6,6
P54,Q23014019,A-Year,4,4
P54,Q23841674,A-Few-Months,3,3
P54,Q2641405,A-Year,8,8
P54,Q2933765,A-Year,6,6
P54,Q3099586,A-Year,7,7
P54,Q3369566,A-Year,7,7
P54,Q3515880,A-Year,8,8
P54,Q1151091,A-Few-Years,5,5
P54,Q60703670,A-Year,3,3
P54,Q1098718,A-Few-Years,5,5
P54,Q2206963,A-Year,6,6
P54,Q2682101,A-Year,4,4
P54,Q3311071,A-Year,5,5
P54,Q1467679,A-Few-Years,4,4
P54,Q348028,A-Few-Years,4,4
P54,Q28056618,A-Year,9,9
P54,Q61827322,A-Year,5,5
P54,Q453383,A-Few-Years,8,8
P54,Q16645854,A-Year,7,7
P54,Q16176473,A-Few-Months,5,5
P54,Q535117,A-Year,9,9
P54,Q605278,A-Year,8,8
P54,Q100136222,A-Year,5,5
P54,Q100145545,A-Year,6,6
P54,Q100152458,A-Few-Years,4,4
P54,Q100321327,A-Year,6,6
P54,Q100426578,A-Year,7,7
P54,Q100560310,A-Few-Years,4,4
P54,Q100591036,A-Year,6,6
P54,Q100602387,A-Year,6,6
P54,Q100715719,A-Few-Years,3,3
P54,Q100718138,A-Year,8,8
P54,Q100718552,A-Year,7,7
P54,Q100719254,A-Year,3,3
P54,Q100721541,A-Year,3,3
P54,Q100721884,A-Year,8,8
P54,Q100741429,A-Few-Years,5,5
P54,Q100743935,A-Year,17,17
P54,Q100744725,A-Year,3,3
P54,Q100748541,A-Few-Years,3,3
P54,Q100759753,A-Year,6,6
P54,Q100766112,A-Few-Years,4,4
P54,Q100767625,A-Few-Years,4,4
P54,Q100768713,A-Year,8,8
P54,Q100771060,A-Few-Years,4,4
P54,Q100773272,A-Year,11,11
P54,Q100774210,A-Year,7,7
P54,Q100779909,A-Year,5,5
P54,Q100784705,A-Few-Years,3,3
P54,Q100785627,A-Year,8,8
P54,Q100794996,A-Few-Years,3,3
P54,Q100795231,A-Few-Years,6,6
P54,Q100795923,A-Year,18,18
P54,Q100797932,A-Few-Years,3,3
P54,Q100799288,A-Few-Years,3,3
P54,Q100800459,A-Few-Years,3,3
P54,Q100802242,A-Year,3,3
P54,Q100802267,A-Year,6,6
P54,Q100803817,A-Year,9,9
P54,Q100805424,A-Few-Years,4,4
P54,Q100806219,A-Few-Years,3,3
P54,Q100819711,A-Year,12,12
P54,Q100844075,A-Few-Years,3,3
P54,Q100868686,A-Few-Years,3,3
P54,Q100871181,A-Few-Years,3,3
P54,Q100873628,A-Year,11,11
P54,Q100874318,A-Year,6,6
P54,Q100879242,A-Year,11,11
P54,Q100880911,A-Year,11,11
P54,Q100883413,A-Few-Years,3,3
P54,Q100883737,A-Year,4,4
P54,Q100885606,A-Few-Years,4,4
P54,Q100887272,A-Year,7,7
P54,Q100887521,A-Few-Years,8,8
P54,Q100889594,A-Year,5,5
P54,Q100890585,A-Year,9,9
P54,Q100900964,A-Year,8,8
P54,Q100914058,A-Year,7,7
P54,Q100916728,A-Few-Years,4,4
P54,Q100920444,A-Year,9,9
P54,Q100920925,A-Few-Years,3,3
P54,Q100920968,A-Few-Years,3,3
P54,Q100926168,A-Few-Years,10,10
P54,Q100926544,A-Few-Years,5,5
P54,Q100927724,A-Few-Years,3,3
P54,Q100930844,A-Few-Years,6,6
P54,Q100931279,A-Few-Years,3,3
P54,Q100934861,A-Few-Years,3,3
P54,Q100935686,A-Year,3,3
P54,Q100942289,A-Year,10,10
P54,Q100944889,A-Year,8,8
P54,Q100948831,A-Year,9,9
P54,Q100950301,A-Few-Years,9,9
P54,Q100964241,A-Year,5,5
P54,Q100982923,A-Year,8,8
P54,Q101002675,A-Few-Years,4,4
P54,Q101084112,A-Few-Years,4,4
P54,Q101090335,A-Year,3,3
P54,Q101120473,A-Year,3,3
P54,Q101247602,A-Few-Years,4,4
P54,Q101478066,A-Year,5,5
P54,Q101555569,A-Few-Years,3,3
P54,Q101609326,A-Few-Years,3,3
P54,Q101702270,A-Year,9,9
P54,Q101951317,A-Year,5,5
P54,Q102045544,A-Year,3,3
P54,Q102046654,A-Few-Years,4,4
P54,Q102047559,A-Year,7,7
P54,Q102227359,A-Year,6,6
P54,Q102246767,A-Few-Years,3,3
P54,Q102312993,A-Few-Years,4,4
P54,Q102353411,A-Few-Years,3,3
P54,Q102353521,A-Year,5,5
P54,Q102353593,A-Year,9,9
P54,Q102426712,A-Year,6,6
P54,Q102439388,A-Year,3,3
P54,Q102441219,A-Few-Years,4,4
P54,Q102555210,A-Year,5,5
P54,Q102836597,A-Few-Years,5,5
P54,Q102925168,A-Year,7,7
P54,Q1033039,A-Year,17,17
P54,Q1033882,A-Few-Years,3,3
P54,Q103528015,A-Year,4,4
P54,Q103831233,A-Year,11,11
P54,Q104054683,A-Few-Years,3,3
P54,Q104054821,A-Few-Years,5,5
P54,Q104096878,A-Year,3,3
P54,Q104099076,A-Year,7,7
P54,Q104213439,A-Few-Years,6,6
P54,Q104247505,A-Year,8,8
P54,Q1043129,A-Year,7,7
P54,Q104413805,A-Few-Years,3,3
P54,Q104419543,A-Few-Years,3,3
P54,Q104422183,A-Few-Years,4,4
P54,Q1044930,A-Few-Years,6,6
P54,Q104500680,A-Few-Years,4,4
P54,Q104604633,A-Year,5,5
