entity_id,entity,property_id,property,value_id,value,value_unit,frequency,frequency_days,start_time,end_time,query
Q138370346,Martin Dehli,P2632,place of detention,Q140459370,Åneby,,A-Day,1.0,1941-04-05,1941-04-16,Where was Martin Dehli detained?
Q139632682,Bjørn Sakariassen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Day,1,1942-08-19,1942-08-19,Where was Bjørn Sakariassen detained?
Q139637817,Harald Granli,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Day,1.5,1943-05-02,1943-05-03,Where was Harald Granli detained?
Q30738818,La Bête curieuse,P915,filming location,Q1538929,parc Montsouris,,A-Day,1,2016-05-10,2016-05-10,Where was La Bête curieuse filmed?
Q138376571,Asbjørn Larsen,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Day,1,1942-09-10,1942-09-10,Where was Asbjørn Larsen detained?
Q139632585,Einar Fridtjof Johansen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Day,1,1940-10-21,1941-11-08,Where was Einar Fridtjof Johansen detained?
Q139655885,Aslak Engesland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Day,1.5,1945-01-17,1945-01-18,Where was Aslak Engesland detained?
Q139649800,Sigvart Riiser,P2632,place of detention,Q140459441,Møllergata 19,,A-Day,1.0,1941-04-04,1941-04-05,Where was Sigvart Riiser detained?
Q138362908,Per Harry Andersen,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Day,1,1942-05-29,1942-05-30,Where was Per Harry Andersen detained?
Q139645356,Nils Magnus Rødahl,P2632,place of detention,Q140459369,KdS Trondheim (Misjonshotellet),,A-Day,1.0,1945-01-21,1945-01-22,Where was Nils Magnus Rødahl detained?
Q138360874,Grigorij Grigorjevitsj Balaban,P2632,place of detention,Q4846406,Bragdøya,,A-Day,1.0,1943-09-17,1943-09-17,Where was Grigorij Grigorjevitsj Balaban detained?
Q139644657,Egil H Lerstad,P2632,place of detention,Q637411,Grini detention camp,,A-Day,1,1945-05-07,,Where was Egil H Lerstad detained?
Q138369181,Sverre Fagerjord,P2632,place of detention,Q140458839,Mo hjelpefengsel,,A-Day,1.5,1943-05-01,1943-05-02,Where was Sverre Fagerjord detained?
Q139631966,Gorm Uchermann Sandvig,P2632,place of detention,Q140459240,Suttestad (KdS Oslo - Aussendienststelle Lillehammer),,A-Day,1,1945-04-21,1945-05-03,What was the place of detention of Gorm Uchermann Sandvig?
Q134469827,2025 visit by Donald Trump to the Middle East,P17,country,Q851,Saudi Arabia,,A-Day,1.0,2025-05-13,2025-05-14,What country was involved in the 2025 visit by Donald Trump to the Middle East?
