entity,relation,value,frequency,start_time,end_time
Q139637817,P2632,Q140458839,A-Day,1943-05-01,1943-05-02
Q30738818,P915,Q3390411,A-Day,2016-05-11,2016-05-11
Q138374721,P2632,Q140458874,A-Day,1942-08-18,1942-08-18
Q138369181,P2632,Q140459146,A-Day,1943-05-02,1943-05-03
Q138376571,P2632,Q140458793,A-Day,1942-09-11,1942-09-12
Q139632584,P2632,Q140459441,A-Day,1940-06-16,1940-08-27
Q164373,P2632,Q1886845,A-Day,2025-09-10,
Q139649800,P2632,Q140459441,A-Day,1941-04-04,1941-04-05
Q134469827,P17,Q846,A-Day,2025-05-14,2025-05-15
Q138370346,P2632,Q140459441,A-Day,1941-04-04,1941-04-05
Q139655885,P2632,Q140459748,A-Day,1945-01-18,1945-01-20
Q139632682,P2632,Q140458793,A-Day,1943-10-29,1943-11-09
Q139631966,P2632,Q637411,A-Day,1945-05-04,1945-05-09
Q139644657,P2632,Q140459457,A-Day,1945-02-01,1945-02-02
Q139651985,P2632,Q4846406,A-Day,1944-08-21,1944-08-21
Q139535777,P17,Q29,A-Day,1984-10-10,1984-10-11
Q138360874,P2632,Q4846406,A-Day,1943-09-17,1943-09-17
Q138362908,P2632,Q140458874,A-Day,1942-08-15,1942-08-16
Q139645356,P2632,Q140459448,A-Day,1945-01-22,1945-03-19
Q139632585,P2632,Q140459442,A-Day,1940-10-21,1941-11-08
Q139640118,P2632,Q15204401,A-Few-Days,1945-02-15,1945-02-20
Q138607723,P2632,Q28717972,A-Few-Days,1943-02-25,1943-02-27
Q106821191,P2632,Q140459458,A-Few-Days,1942-12-01,1943-01-19
Q138373676,P2632,Q140458793,A-Few-Days,1942-01-16,1942-01-18
Q138373805,P2632,Q140459535,A-Few-Days,1944-08-04,1944-11-01
Q139647672,P2632,Q2217762,A-Few-Days,1943-08-22,1943-12-08
Q1586167,P2825,Q204387,A-Few-Days,1899-07-01,1899-07-04
Q138607158,P2632,Q140459458,A-Few-Days,1942-12-01,1943-03-01
Q138371495,P2632,Q140459335,A-Few-Days,1944-09-09,1944-09-11
Q138378733,P2632,Q140459661,A-Few-Days,1945-02-26,1945-03-11
Q138365016,P2632,Q140459448,A-Few-Days,1944-10-06,1944-10-07
Q139645787,P2632,Q140458793,A-Few-Days,1942-08-03,1942-08-06
Q125501029,P2632,Q140459458,A-Few-Days,1943-03-03,1943-03-03
Q138380822,P2632,Q2217762,A-Few-Days,1944-11-28,1945-02-22
Q138369746,P2632,Q140459441,A-Few-Days,1942-04-15,1942-04-17
Q139638783,P2632,Q140459616,A-Few-Days,1943-08-16,1943-08-17
Q138361328,P2632,Q140459458,A-Few-Days,1942-12-01,1943-01-11
Q138697342,P2632,Q637411,A-Few-Days,1942-10-26,1943-02-24
Q138359356,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q139655004,P2632,Q2217762,A-Few-Days,1944-02-06,1944-03-06
Q138360588,P2632,Q140459458,A-Few-Days,1942-12-01,1942-12-01
Q138694598,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q48753514,P915,Q1787799,A-Few-Days,2016-07-12,2016-07-12
Q139638895,P2632,Q7393493,A-Few-Days,1943-12-09,1943-12-11
Q138607731,P2632,Q15204401,A-Few-Days,1942-12-02,1943-02-24
Q139651477,P2632,Q140458846,A-Few-Days,1945-03-06,1945-03-07
Q139648552,P2632,Q140459728,A-Few-Days,1942-08-04,1942-08-05
Q139644212,P2632,Q140459535,A-Few-Days,1945-01-18,1945-02-14
Q139643630,P2632,Q637411,A-Few-Days,1945-02-21,1945-03-29
Q139636318,P2632,Q3654674,A-Few-Days,1941-10-15,1942-02-17
Q138360980,P2632,Q28717972,A-Few-Days,1943-02-25,1943-02-27
Q138359424,P2632,Q15204401,A-Few-Days,1942-11-26,1943-02-24
Q138377952,P2632,Q2217762,A-Few-Days,1943-05-04,1944-08-06
Q139647794,P2632,Q140459448,A-Few-Days,1943-01-23,1943-01-29
Q138606783,P2632,Q28717972,A-Few-Days,1943-02-25,1943-02-27
Q138607226,P2632,Q140459443,A-Few-Days,1942-10-28,1942-11-26
Q138362031,P2632,Q140459760,A-Few-Days,1944-06-07,1945-01-27
Q138606803,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138695500,P2632,Q140458793,A-Few-Days,1942-12-11,1942-12-12
Q138607683,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q139649533,P2632,Q140458872,A-Few-Days,1944-11-02,1944-11-04
Q139638233,P2632,Q2217762,A-Few-Days,1943-07-08,1943-07-18
Q26771377,P2632,Q140459443,A-Few-Days,1942-10-28,1942-11-26
Q138606838,P2632,Q140459458,A-Few-Days,1943-03-03,1943-03-03
Q139650698,P2632,Q140459747,A-Few-Days,1943-08-16,1943-08-18
Q138695510,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138606855,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q139634228,P2632,Q140458793,A-Few-Days,1942-07-10,1942-07-18
Q139640161,P2632,Q140459442,A-Few-Days,1941-12-02,1941-12-28
Q138606910,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138607183,P2632,Q140459458,A-Few-Days,1942-12-01,1943-02-04
Q139629552,P2632,Q2217762,A-Few-Days,1944-06-07,1944-08-10
Q138368443,P2632,Q140459441,A-Few-Days,1945-02-20,
Q138687059,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q119238334,P6,Q460416,A-Few-Days,1950-02-01,1954-01-20
Q139645783,P2632,Q140458793,A-Few-Days,1942-08-03,1942-08-06
Q139649446,P2632,Q140459442,A-Few-Days,1944-02-17,1944-01-24
Q138359487,P2632,Q637411,A-Few-Days,1944-05-25,1944-09-06
Q138606819,P2632,Q15204401,A-Few-Days,1942-12-02,1943-02-24
Q138607268,P2632,Q15204401,A-Few-Days,1942-10-26,1942-10-28
Q26975,P2632,Q15204401,A-Few-Days,1942-10-26,1942-10-28
Q138692869,P2632,Q15204401,A-Few-Days,1942-10-26,1942-10-28
Q138359407,P2632,Q15204401,A-Few-Days,1943-02-23,1943-02-24
Q25430444,P2632,Q140459458,A-Few-Days,1942-12-01,
Q139640809,P2632,Q140459506,A-Few-Days,1941-05-28,1941-07-06
Q139641760,P2632,Q637411,A-Few-Days,1942-03-30,1942-03-31
Q138607738,P2632,Q140459458,A-Few-Days,1943-03-03,1943-03-03
Q138687039,P2632,Q28717972,A-Few-Days,1943-02-25,1943-02-27
Q138361038,P2632,Q140459434,A-Few-Days,1942-10-11,
Q138607024,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138607207,P2632,Q140459443,A-Few-Days,1942-10-28,1942-11-26
Q138369595,P2632,Q140458793,A-Few-Days,1943-11-11,1943-11-18
Q131825072,P2825,Q10717,A-Few-Days,1929-08-05,1929-08-10
Q138606786,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q139639036,P2632,Q140459616,A-Few-Days,1943-12-18,1943-12-19
Q138607114,P2632,Q15204401,A-Few-Days,1942-11-26,1943-02-24
Q138373804,P2632,Q140459448,A-Few-Days,1944-07-29,1944-08-04
Q139646210,P2632,Q637411,A-Few-Days,1945-04-07,1945-05-08
Q139645788,P2632,Q140458793,A-Few-Days,1942-08-03,1942-08-06
Q138606823,P2632,Q140459458,A-Few-Days,1943-03-03,1943-03-03
Q139658645,P2632,Q140458793,A-Few-Days,1944-02-03,1944-02-03
Q138607423,P2632,Q140459458,A-Few-Days,1942-12-01,1943-01-14
