entity,entity_label,relation,relation_label,value,value_label,frequency,start_time,end_time
Q139637817,Harald Granli,P2632,place of detention,Q140458839,Mo hjelpefengsel,A-Day,1943-05-01,1943-05-02
Q30738818,La Bête curieuse,P915,filming location,Q3390411,place de la République-Dominicaine,A-Day,2016-05-11,2016-05-11
Q138374721,Hans Kalleberg,P2632,place of detention,Q140458874,Farsund hjelpefengsel,A-Day,1942-08-18,1942-08-18
Q138369181,Sverre Fagerjord,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Day,1943-05-02,1943-05-03
Q138376571,Asbjørn Larsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Day,1942-09-11,1942-09-12
Q139632584,Harold Graystone,P2632,place of detention,Q140459441,Møllergata 19,A-Day,1940-06-16,1940-08-27
Q164373,Thaksin Shinawatra,P2632,place of detention,Q1886845,Klong Prem Central Prison,A-Day,2023-08-22,2023-08-23
Q139649800,Sigvart Riiser,P2632,place of detention,Q140459441,Møllergata 19,A-Day,1941-04-04,1941-04-05
Q134469827,2025 visit by Donald Trump to the Middle East,P17,country,Q846,Qatar,A-Day,2025-05-14,2025-05-15
Q138370346,Martin Dehli,P2632,place of detention,Q140459441,Møllergata 19,A-Day,1941-04-04,1941-04-05
Q139655885,Aslak Engesland,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Day,1945-01-18,1945-01-20
Q139632682,Bjørn Sakariassen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Day,1942-08-19,1942-08-19
Q139631966,Gorm Uchermann Sandvig,P2632,place of detention,Q637411,Grini detention camp,A-Day,1945-05-04,1945-05-09
Q139644657,Egil H Lerstad,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Day,1945-02-01,1945-02-02
Q139651985,Czesław Szafran,P2632,place of detention,Q4846406,Bragdøya,A-Day,1944-08-21,1944-08-21
Q139535777,"Apostolic journey of John Paul II to Zaragoza, Santo Domingo and Puerto Rico",P17,country,Q29,Spain,A-Day,1984-10-10,1984-10-11
Q138360874,Grigorij Grigorjevitsj Balaban,P2632,place of detention,Q4846406,Bragdøya,A-Day,1943-09-17,1943-09-17
Q138362908,Per Harry Andersen,P2632,place of detention,Q140458874,Farsund hjelpefengsel,A-Day,1942-05-29,1942-05-30
Q139645356,Nils Magnus Rødahl,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Day,1945-01-22,1945-03-19
Q139632585,Einar Fridtjof Johansen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Day,1940-10-21,1941-11-08
Q139640118,Peder Wangsnes,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1945-02-15,1945-02-20
Q138607723,Lillian Lea Fischer,P2632,place of detention,Q28717972,MS Gotenland,A-Few-Days,1943-02-25,1943-02-27
