pid,label,n_stmt,n_groups,n_valid,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P17,country,50000,19732,6612,0,0,0,0,0,2,0,65,6545
P54,member of sports team,50000,23478,3103,0,0,0,0,0,7,564,2526,6
P131,located in the administrative territorial entity,50000,33170,2909,0,0,0,0,2,33,9,192,2673
P937,work location,41213,26215,2030,0,0,0,0,0,10,114,1346,560
P6,head of government,35168,16922,1971,0,1,1,0,1,18,36,1310,604
P488,chairperson,35119,15430,1468,0,0,0,0,0,30,105,977,356
P127,owned by,50000,38365,1374,0,0,0,0,0,0,12,271,1091
P137,operator,33211,23406,1315,0,0,0,0,0,3,17,544,751
P286,head coach,14667,3816,1287,0,0,0,0,1,276,427,554,29
P281,postal code,6016,3369,1160,0,0,0,0,0,0,0,1,1159
P102,member of political party,50000,40276,1122,0,0,0,0,0,6,24,688,404
P551,residence,29481,19882,1070,0,0,0,1,0,6,33,590,440
P6087,coach of sports team,14249,3884,984,0,0,0,0,0,38,228,695,23
P1308,position holder,26817,7285,829,0,0,0,0,2,35,84,528,180
P1037,director / manager,13612,5400,799,0,0,0,0,1,10,24,442,322
P118,league or competition,50000,43197,756,0,0,0,0,0,0,185,484,87
P1410,number of seats in assembly,5918,1627,552,0,1,7,5,28,157,115,165,74
P4791,commanded by,5547,1527,466,0,1,1,0,6,54,59,324,21
P531,diplomatic mission sent,2601,1060,401,0,0,0,0,0,0,4,340,57
P138,named after,20662,17307,387,0,0,0,0,0,0,0,73,314
P159,headquarters location,8547,5250,365,0,0,0,0,2,15,18,147,183
P31,instance of,50000,42702,347,0,0,0,0,1,6,10,85,245
P2632,place of detention,50000,42166,347,0,1,3,12,24,228,58,19,2
P3872,patronage,3597,355,320,0,0,0,0,0,3,317,0,0
P410,"military, police or special rank",24257,12988,307,0,0,0,1,0,34,38,215,19
P169,chief executive officer,6816,4572,294,0,1,0,0,0,1,10,219,63
P749,parent organization or unit,7666,5472,292,0,0,0,0,0,3,3,141,145
P608,exhibition history,5029,3181,256,0,0,0,0,0,20,41,133,62
P1352,ranking,5337,339,228,0,0,0,0,184,43,0,1,0
P1998,UCI code of cycling team,1751,805,209,0,0,0,0,0,1,78,129,1
P8047,country of registry,1752,820,206,0,0,0,0,0,3,11,121,71
P36,capital,5193,3783,202,0,0,0,0,0,3,12,38,149
P366,has use,7711,5197,191,0,0,0,0,0,19,5,14,153
P1376,capital of,12442,8850,188,0,0,0,0,0,0,0,20,168
P1268,represents,884,369,180,0,0,0,0,0,0,14,165,1
P1416,affiliation,12205,10065,179,0,0,0,1,1,16,42,100,19
P451,unmarried partner,6649,5188,177,0,0,0,0,0,1,10,149,17
P26,spouse,50000,44309,176,0,0,0,0,0,0,1,97,78
P466,occupant,8859,5589,173,0,0,0,0,0,1,3,42,127
P793,significant event,24418,20126,168,0,0,0,0,0,9,9,23,127
P108,employer,50000,40369,165,0,0,0,0,0,4,16,134,11
P1075,rector,2250,527,161,0,0,0,0,0,2,6,117,36
P2802,fleet or registration number,2343,1141,156,0,0,0,0,0,1,2,58,95
P371,presenter,3438,1161,153,0,0,1,1,0,4,11,103,33
P35,head of state,1961,589,150,0,0,0,0,0,2,7,81,60
P69,educated at,50000,39179,144,0,0,0,0,0,0,11,128,5
P123,publisher,2552,1533,141,0,0,0,0,0,0,3,61,77
P115,home venue,1781,832,139,0,0,0,0,0,0,10,47,82
P598,commander of (DEPRECATED),1663,951,136,0,0,0,2,0,33,35,59,7
P106,occupation,50000,34615,121,0,0,0,0,0,1,5,75,40
P5769,editor-in-chief,1843,794,116,0,0,0,0,0,1,5,61,49
P241,military branch,15122,13673,110,0,0,0,0,0,4,9,66,31
P449,original broadcaster,4163,2949,109,0,0,0,0,0,3,10,74,22
P39,position held,50000,37652,109,0,0,0,0,0,1,4,67,37
P264,record label,1851,984,106,0,0,0,0,0,0,4,86,16
P3975,general secretary,1300,535,101,0,0,0,0,0,0,6,71,24
P2043,length,1093,638,98,0,0,0,0,0,1,4,13,80
P98,editor,3888,1905,94,0,0,0,0,0,0,5,49,40
P166,award received,12954,9674,93,0,0,0,1,0,5,17,60,10
P2295,net profit,1228,120,88,0,0,0,0,0,33,55,0,0
P2139,total revenue,1074,106,85,0,0,0,0,0,32,52,1,0
