pid,label,rows,expected,n_groups,n_valid,sec,status,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P54,member of sports team,1258522,1258411,382473,65550,24.8,ok,0,0,0,0,1,267,28730,36479,73
P39,position held,1287656,1285553,582180,28461,27.3,ok,0,0,0,2,4,449,1756,23458,2792
P17,country,250535,250508,128000,12151,20.6,ok,2,1,0,0,8,49,109,1136,10846
P2632,place of detention,210062,208799,170598,5819,8.5,ok,17,473,531,1117,1276,2049,309,42,5
P6,head of government,35046,35027,17812,2345,8.8,ok,0,1,1,0,1,18,45,1587,692
P27,country of citizenship,136494,136475,116797,2294,16.1,ok,0,0,0,0,0,6,12,752,1524
P102,member of political party,58044,58020,44298,2283,15.8,ok,0,0,0,0,0,15,70,1551,647
P937,work location,41028,40821,26446,2169,11.1,ok,0,0,0,0,0,9,119,1454,587
P488,chairperson,34883,34865,15972,2064,9.7,ok,0,0,0,0,0,45,163,1404,452
P127,owned by,61658,61642,44448,2013,16.9,ok,0,0,0,0,0,3,18,440,1552
P137,operator,32958,32942,23791,1553,18.3,ok,0,0,0,0,0,3,18,580,952
P1308,position holder,26777,26562,7681,1431,8.6,ok,0,0,0,0,4,63,149,959,256
P286,head coach,14658,14647,3828,1345,5.1,ok,0,0,0,0,1,275,455,582,32
P31,instance of,164110,164070,143325,1290,22.5,ok,0,0,0,0,1,10,52,344,883
P26,spouse,414992,414960,378287,1234,21.4,ok,0,0,0,0,0,0,1,546,687
P6087,coach of sports team,14248,14161,3953,1219,4.6,ok,0,0,0,0,0,48,294,844,33
P281,postal code,6009,6009,3367,1160,15.7,ok,0,0,0,0,0,0,0,1,1159
P551,residence,28627,28618,19526,1108,12.9,ok,0,0,0,1,0,5,38,608,456
P1037,director / manager,13515,13405,5510,965,5.3,ok,0,0,0,0,1,11,28,529,396
P118,league or competition,160305,160277,154174,794,13.0,ok,0,0,0,0,0,0,190,518,86
P276,location,23810,23648,17351,684,15.3,ok,0,1,7,5,17,159,21,122,352
P361,part of,16595,16588,11950,621,15.2,ok,0,0,0,0,1,147,39,121,313
P1410,number of seats in assembly,5917,5917,1627,551,3.6,ok,0,1,7,5,28,156,115,165,74
P106,occupation,108254,108111,71247,468,15.7,ok,0,0,0,0,0,3,18,303,144
P4791,commanded by,5547,5545,1526,464,3.6,ok,0,1,1,0,6,51,59,325,21
P138,named after,20571,20359,17321,403,20.5,ok,0,0,0,0,0,0,0,77,326
P531,diplomatic mission sent,2601,2601,1060,401,7.2,ok,0,0,0,0,0,0,4,340,57
P159,headquarters location,8309,8304,5174,366,15.3,ok,0,0,0,0,2,13,18,150,183
P195,collection,363856,363511,354083,363,25.7,ok,0,0,0,0,0,1,1,61,300
P463,member of,127675,127055,95979,361,20.6,ok,0,0,0,0,0,7,37,224,93
P410,"military, police or special rank",24068,24068,13298,339,10.3,ok,0,0,0,1,0,34,47,241,16
P3872,patronage,3597,3589,355,322,3.0,ok,0,0,0,0,0,3,319,0,0
P169,chief executive officer,6732,6732,4507,295,5.6,ok,0,0,0,0,0,1,10,221,63
P749,parent organization or unit,7550,7550,5417,293,11.6,ok,0,0,0,0,0,2,3,143,145
P279,subclass of,2505,2505,1380,266,26.3,ok,0,0,0,0,0,0,37,189,40
P608,exhibition history,5029,5016,3181,260,4.5,ok,0,0,0,0,0,21,41,136,62
P1352,ranking,5340,5340,340,229,3.5,ok,0,0,0,0,184,43,0,1,1
P8047,country of registry,1735,1735,814,209,5.5,ok,0,0,0,0,0,3,11,122,73
P1998,UCI code of cycling team,1751,1751,805,208,3.2,ok,0,0,0,0,0,0,78,129,1
P36,capital,5152,5151,3778,203,8.7,ok,0,0,0,0,0,3,12,38,150
P1376,capital of,12401,12303,8964,197,9.7,ok,0,0,0,0,0,0,0,21,176
P366,has use,7630,7619,5158,192,16.2,ok,0,0,0,0,0,19,5,14,154
P793,significant event,24316,24303,20863,187,11.7,ok,0,0,0,0,0,9,9,26,143
P1416,affiliation,12154,12151,10167,180,9.4,ok,0,0,0,1,1,16,42,100,20
P1268,represents,881,881,368,179,2.7,ok,0,0,0,0,0,0,14,164,1
P451,unmarried partner,6532,6514,5085,179,7.3,ok,0,0,0,0,0,1,11,150,17
P466,occupant,8727,8707,5526,177,7.3,ok,0,0,0,0,0,1,3,43,130
P1075,rector,2246,2246,527,161,3.2,ok,0,0,0,0,0,2,6,117,36
P2802,fleet or registration number,2343,2343,1141,155,3.2,ok,0,0,0,0,0,0,2,58,95
P371,presenter,3435,3399,1160,154,4.9,ok,0,0,1,1,0,4,12,104,32
P35,head of state,1911,1909,547,151,2.8,ok,0,0,0,0,0,2,7,82,60
P123,publisher,2513,2513,1517,141,26.0,ok,0,0,0,0,0,0,3,61,77
P115,home venue,1776,1776,832,140,4.8,ok,0,0,0,0,0,0,10,48,82
P598,commander of (DEPRECATED),1661,1661,949,136,3.0,ok,0,0,0,2,0,33,35,59,7
P468,dan/kyu rank,916,916,212,124,2.0,ok,0,0,0,0,0,17,51,56,0
P5769,editor-in-chief,1812,1806,776,119,2.4,ok,0,0,0,0,0,0,5,63,51
P241,military branch,15084,15058,13669,119,11.4,ok,0,0,0,0,0,4,10,73,32
P264,record label,1840,1840,984,107,11.2,ok,0,0,0,0,0,0,4,86,17
P449,original broadcaster,4159,4132,2947,104,11.3,ok,0,0,0,0,0,2,10,71,21
P3975,general secretary,1291,1291,529,101,2.2,ok,0,0,0,0,0,0,6,71,24
P2043,length,1086,1086,634,98,11.8,ok,0,0,0,0,0,1,4,13,80
P98,editor,3890,3886,1908,94,5.4,ok,0,0,0,0,0,0,5,49,40
P166,award received,12911,12911,9691,93,15.9,ok,0,0,0,1,0,5,17,60,10
P2295,net profit,1228,1228,120,88,2.6,ok,0,0,0,0,0,33,55,0,0
P2139,total revenue,1074,1074,106,85,6.1,ok,0,0,0,0,0,32,52,1,0
P527,has part(s),26967,26247,5931,83,16.1,ok,0,2,0,1,0,10,5,18,47
P5817,state of use,2615,2615,2050,80,9.8,ok,0,0,0,0,18,2,6,17,37
P3362,operating income,1009,1009,93,79,2.3,ok,0,0,0,0,0,32,47,0,0
P532,port of registry,716,716,376,76,3.3,ok,0,0,0,0,0,0,0,44,32
P734,family name,53704,53704,50306,74,18.0,ok,0,0,0,0,0,0,0,7,67
P797,authority,511,502,254,72,3.7,ok,0,0,0,0,0,0,6,6,60
P1454,legal form,5097,5097,4382,69,10.9,ok,0,0,0,0,0,0,0,21,48
P92,main regulatory text,892,892,518,68,3.5,ok,0,0,0,0,0,0,0,16,52
P5096,member of the crew of,597,597,238,66,1.8,ok,0,0,0,0,1,29,20,16,0
P1618,sport number,4258,4258,3560,66,5.5,ok,0,0,0,0,0,8,26,31,1
P7779,military unit,2509,2509,1160,63,3.5,ok,0,0,0,0,2,6,6,44,5
P1545,series ordinal,329,329,122,61,4.1,ok,0,0,0,0,0,0,17,41,3
P176,manufacturer,5019,5015,3665,61,10.8,ok,0,0,0,0,0,2,5,37,17
P4100,parliamentary group,1897,1897,1042,58,1.8,ok,0,0,0,3,0,8,21,24,2
P291,place of publication,940,940,506,55,10.5,ok,0,0,0,0,0,1,5,26,23
P197,adjacent station,7700,7680,3897,55,11.0,ok,0,0,0,0,0,1,2,12,40
P879,pennant number,608,608,277,53,2.3,ok,0,0,0,0,0,0,0,50,3
P618,source of energy,1111,1111,807,51,2.9,ok,0,0,0,0,0,0,0,0,51
P426,aircraft registration,852,852,506,50,1.9,ok,0,0,0,0,0,5,5,32,8
P512,academic degree,3464,3464,2737,49,10.4,ok,0,0,0,0,0,0,1,39,9
